seq_id	start	end	align_to
GGBKTAO02BLR7U	1	21	primer
GGBKTAO02BL723	1	21	primer
GGBKTAO02BMNT3	1	21	primer
GGBKTAO02BVPBC	1	21	primer
GGBKTAO02BPTJO	1	21	primer
GGBKTAO02BXPZ5	1	21	primer
GGBKTAO02BY1FK	1	21	primer
GGBKTAO02BVPEU	1	21	primer
GGBKTAO02B0PGL	1	21	primer
GGBKTAO02BU27E	1	21	primer
GGBKTAO02BWKWM	1	21	primer
GGBKTAO02BZ6HE	1	21	primer
GGBKTAO02BZ6JB	1	21	primer
GGBKTAO02BYYA5	1	21	primer
GGBKTAO02BNC3A	1	21	primer
GGBKTAO02B130R	1	21	primer
GGBKTAO02BP21Q	1	21	primer
GGBKTAO02BQCJ7	1	21	primer
GGBKTAO02BY4KI	1	21	primer
GGBKTAO02BUKB2	1	21	primer
GGBKTAO02BRNXL	1	21	primer
GGBKTAO02BS5Q6	1	21	primer
GGBKTAO02BUWW1	1	21	primer
GGBKTAO02BYB7D	1	21	primer
GGBKTAO02BN5HM	1	21	primer
GGBKTAO02B10W8	1	21	primer
GGBKTAO02B0F0J	1	21	primer
GGBKTAO02BLCGF	1	21	primer
GGBKTAO02BTIBJ	1	21	primer
GGBKTAO02BQSAS	1	21	primer
GGBKTAO02BSC7W	1	21	primer
GGBKTAO02BLYKW	1	21	primer
GGBKTAO02BP9D9	1	21	primer
GGBKTAO02BPJ2K	1	21	primer
GGBKTAO02BN2BW	1	21	primer
GGBKTAO02BLCD4	1	21	primer
GGBKTAO02BS2L5	1	21	primer
GGBKTAO02BZ9P0	1	21	primer
GGBKTAO02B0176	1	21	primer
GGBKTAO02BMKMF	1	21	primer
GGBKTAO02BZ6IH	1	21	primer
GGBKTAO02BZW3B	1	21	primer
GGBKTAO02BWKWI	1	21	primer
GGBKTAO02BLLZF	1	21	primer
GGBKTAO02BNGBA	1	21	primer
GGBKTAO02BW3VT	1	21	primer
GGBKTAO02BUQKC	1	21	primer
GGBKTAO02BVPFX	1	21	primer
GGBKTAO02B1K1V	1	21	primer
GGBKTAO02BO4A7	1	21	primer
GGBKTAO02BT7NI	1	21	primer
GGBKTAO02BV121	1	21	primer
GGBKTAO02BVYTP	1	21	primer
GGBKTAO02BMA5S	1	21	primer
GGBKTAO02BSGFE	1	21	primer
GGBKTAO02BPTL8	1	21	primer
GGBKTAO02BSSZ9	1	21	primer
GGBKTAO02BN8R0	1	21	primer
GGBKTAO02BWXJO	1	21	primer
GGBKTAO02BUZ3X	1	21	primer
GGBKTAO02BQFOP	1	21	primer
GGBKTAO02BQFOP	318	337	adaptor
GGBKTAO02BZZ5R	1	21	primer
GGBKTAO02BN5LK	1	21	primer
GGBKTAO02BN5LK	283	302	adaptor
GGBKTAO02BYB5V	1	21	primer
GGBKTAO02BOE4I	1	21	primer
GGBKTAO02BU6FE	1	21	primer
GGBKTAO02BT4I3	1	21	primer
GGBKTAO02BLIPH	1	21	primer
GGBKTAO02BYYAY	1	21	primer
GGBKTAO02BYYAY	152	171	adaptor
GGBKTAO02BPTJ1	1	21	primer
GGBKTAO02BV8CB	1	21	primer
GGBKTAO02BVSHY	1	21	primer
GGBKTAO02BWBFS	1	21	primer
GGBKTAO02BOH7L	1	21	primer
GGBKTAO02BO39L	1	21	primer
GGBKTAO02BMQXZ	1	21	primer
GGBKTAO02BMQ2O	1	21	primer
GGBKTAO02BXMUZ	1	21	primer
GGBKTAO02BSPW0	1	21	primer
GGBKTAO02BVI3U	1	21	primer
GGBKTAO02BLFJ7	1	21	primer
GGBKTAO02BO06J	1	21	primer
GGBKTAO02B0YXW	1	21	primer
GGBKTAO02BLITU	1	21	primer
GGBKTAO02BRXIB	1	21	primer
GGBKTAO02B1XSC	1	21	primer
GGBKTAO02BUG4W	1	21	primer
GGBKTAO02BRKSW	1	21	primer
GGBKTAO02BMKLV	1	21	primer
GGBKTAO02BQCIR	1	21	primer
GGBKTAO02BN8QM	1	21	primer
GGBKTAO02BWXJD	1	20	primer
GGBKTAO02BSMQ6	1	21	primer
GGBKTAO02BSMQ6	144	163	adaptor
GGBKTAO02B0I7B	1	21	primer
GGBKTAO02BZ6LS	1	21	primer
GGBKTAO02B0Y04	1	21	primer
GGBKTAO02BL4S5	1	21	primer
GGBKTAO02BSZGB	1	21	primer
GGBKTAO02BVYWF	1	21	primer
GGBKTAO02BMXAI	1	21	primer
GGBKTAO02BNSUO	1	21	primer
GGBKTAO02B1RH8	1	21	primer
GGBKTAO02BNMN8	1	21	primer
GGBKTAO02BN5HV	1	21	primer
GGBKTAO02BT4JE	1	21	primer
GGBKTAO02BL1M7	1	21	primer
GGBKTAO02BWBF0	1	21	primer
GGBKTAO02BXS7M	1	21	primer
GGBKTAO02BVVL8	1	21	primer
GGBKTAO02BPQES	1	21	primer
GGBKTAO02BXWES	1	21	primer
GGBKTAO02BUG18	1	21	primer
GGBKTAO02BVL5P	1	21	primer
GGBKTAO02B10UR	1	21	primer
GGBKTAO02BTB00	1	21	primer
GGBKTAO02BLLWH	1	21	primer
GGBKTAO02B05CB	1	21	primer
GGBKTAO02BOLDL	2	21	primer
GGBKTAO02BOLDL	311	330	adaptor
GGBKTAO02BPGXI	1	21	primer
GGBKTAO02BUNDF	1	21	primer
GGBKTAO02BSGDQ	1	21	primer
GGBKTAO02B0YZB	1	21	primer
GGBKTAO02BMNS7	1	21	primer
GGBKTAO02BY7QZ	1	21	primer
GGBKTAO02BU9HW	1	21	primer
GGBKTAO02BWEM2	1	21	primer
GGBKTAO02BYLMB	1	21	primer
GGBKTAO02BREJP	1	21	primer
GGBKTAO02BTUZI	1	21	primer
GGBKTAO02BYU40	1	21	primer
GGBKTAO02BS8TU	1	21	primer
GGBKTAO02BXWBO	1	21	primer
GGBKTAO02BL4VD	1	21	primer
GGBKTAO02BPQDJ	1	21	primer
GGBKTAO02BY4JT	1	21	primer
GGBKTAO02B0FYC	1	21	primer
GGBKTAO02BT7OE	1	21	primer
GGBKTAO02B0F1X	1	21	primer
GGBKTAO02BYX79	1	21	primer
GGBKTAO02BM0ER	1	21	primer
GGBKTAO02BM0ER	318	337	adaptor
GGBKTAO02BO7FP	1	21	primer
GGBKTAO02BQFQS	1	21	primer
GGBKTAO02BQFQS	320	339	adaptor
GGBKTAO02B134B	1	21	primer
GGBKTAO02BYIHW	1	21	primer
GGBKTAO02B1ER4	1	21	primer
GGBKTAO02BVPAO	1	21	primer
GGBKTAO02BUDVQ	1	21	primer
GGBKTAO02BMXDQ	1	21	primer
GGBKTAO02BS8WU	1	21	primer
GGBKTAO02BS8WU	263	283	adaptor
GGBKTAO02BPNA3	1	21	primer
GGBKTAO02BPNA3	311	330	adaptor
GGBKTAO02BP25B	1	21	primer
GGBKTAO02BVCRD	1	21	primer
GGBKTAO02BQSCZ	1	21	primer
GGBKTAO02BV431	1	21	primer
